Energy_Consumption_Reduction,Waste_Management,Utilization_Of_Alternative_Materials,Soil_Preservation(m^3),Renewable_Energy_Utilization(MW),Water_Demand_Reduction(Building),Waste_Demand_Reduction(Landscape),Waste_Water_Treatment(KLD),Social_Benefits,VOC/Lead Free Paints,EPI(Energy Performance Index),Daylight_Factor,EPR(Energy performane Reduction),Air_Pollution_Control,Building Performance(kWh /sqm/year),Water_Consumption_in_building(KL/annum),Renewable_Energy_REC(kWH/annum),Green_Rating
7,1,9.387280082,12,0.649298281,22.25622649,9.01403438,21,0,0,97.3887725,16.63377149,3.854912033,0,219.3085096,30,6,1
7,2,9.726284853,13,0.62992658,23.1182672,9.401468404,22,0,0,97.07882528,16.87591775,3.990513941,0,218.8532746,29,7,1
10,3,14.01995217,14,0.784922341,30.27560327,14.36917558,5,0,0,89.96253292,19.39689364,5.11352448,0,199.0995701,20,16,1
10,2,12.43745174,7,0.836954843,21.98584522,8.684774215,20,0,0,95.80329025,15.82880645,5.074980695,0,215.2272385,28,13,1
7,2,10.01091989,14,0.613661721,23.84205343,9.726765587,23,0,0,96.81858753,17.07922849,4.104367955,0,218.4710504,29,7,1
10,3,14.39111401,15,0.790632523,30.96653531,14.79743924,4,0,0,89.40864525,19.62530093,5.222017941,0,197.6606041,20,17,1
9,2,10.89015272,11,0.73677158,24.44936122,10.75786852,13,0,0,94.63315671,17.47086321,4.198660026,0,211.2335618,26,10,1
10,3,13.27618461,14,0.773479763,28.89105135,13.51098224,7,0,0,91.07246297,18.93919053,4.896115501,0,201.9830997,22,15,1
8,1,10.08593268,10,0.724398964,22.95227468,9.829922325,15,0,0,95.83330046,16.97595857,3.963580322,0,214.351461,28,8,1
8,1,8.81037862,8,0.710795778,20.15653878,8.05397889,20,0,0,98.01107388,15.98650528,3.624151448,0,220.0843625,30,5,1
13,2,14.26557162,23,0.882070683,29.10353413,14.06902275,10,0,1,91.70614565,19.64141365,5.017255688,0,198.9549692,25,15,1
15,4,19.78409311,7,1.089204656,26.79317169,10.86362756,18,0,0,90.80057225,16.20169739,7.873297766,0,202.9301358,22,28,1
6,2,10.70898519,17,0.573772275,25.61713377,10.5245545,24,0,0,96.1803564,17.57784656,4.383594076,0,217.5336485,29,8,1
9,1,10.44929262,13,0.761556609,23.07783045,10.05188696,16,0,0,96.00448095,17.23113218,4.012971741,0,213.2158013,29,8,1
8,4,13.50791128,18,0.650791128,30.5084387,13.75922983,14,0,0,91.73285889,19.25395564,5.151318547,0,205.4959396,23,15,1
9,2,11.25012475,11,0.742309612,25.119463,11.17322087,12,0,0,94.09596768,17.69238446,4.303882619,0,209.8379779,25,10,1
8,4,13.47755308,19,0.647755308,30.47605662,13.72381193,15,0,0,91.79863499,19.23877654,5.146258847,0,205.7033873,23,14,1
15,3,16.14519162,28,0.941427104,32.07135518,16.04757012,7,0,1,89.58909997,20.82854207,5.511892531,0,191.9311261,23,18,1
10,3,13.19593875,14,0.772245212,28.74167059,13.41839086,7,0,0,91.19221448,18.88980846,4.872659019,0,202.2942067,22,15,1
7,1,9.482703269,12,0.643845528,22.49887403,9.12308945,21,0,0,97.30152844,16.70193091,3.893081307,0,219.1803699,30,6,1
7,1,8.585105883,9,0.695136807,20.2164121,8.097263866,20,0,0,98.12218891,16.06078992,3.534042353,0,220.385715,30,5,1
7,4,13.06358311,19,0.606358311,30.03448865,13.24084696,18,0,0,92.69556992,19.03179156,5.077263852,0,208.5321821,24,13,1
7,1,9.119887378,11,0.664577864,21.57628505,8.708442718,21,0,0,97.63324583,16.4427767,3.747954951,0,219.6675798,30,6,1
15,4,19.88091717,5,1.094045858,26.34778102,10.47633133,19,0,0,90.97969676,15.8870192,7.974963027,0,203.9032175,22,28,1
6,3,11.83875002,21,0.509214285,28.48996434,11.81571431,26,0,0,95.14742855,18.38482144,4.835500008,0,216.0165357,28,10,1
8,1,9.308788293,11,0.725540683,21.27703415,8.851356098,18,0,0,97.28904898,16.51081366,3.712839024,0,217.4776859,30,6,1
9,4,13.8895239,18,0.68895239,30.91549216,14.20444455,11,0,0,90.90603155,19.44476195,5.21492065,0,202.8882534,22,16,1
16,3,17.85316214,32,0.995363015,34.76815075,17.84543383,5,0,1,87.6653858,21.9072603,5.961358459,0,185.5487099,22,21,1
8,1,9.180973655,10,0.721504431,21.07522156,8.716814374,18,0,0,97.43300862,16.43008862,3.679203594,0,217.955309,30,6,1
15,4,19.1436317,16,1.057181585,29.73929416,13.42547319,13,0,0,89.61571865,18.28319696,7.200813289,0,196.4934986,22,26,1
6,4,12.10003554,21,0.510003554,29.00670458,12.11670813,26,0,0,94.78325632,18.55001777,4.91667259,0,215.1164238,27,11,1
8,1,8.845610218,9,0.710914007,20.54570034,8.363800229,19,0,0,97.81073375,16.21828014,3.590950057,0,219.2085092,30,5,1
16,4,18.29398109,28,1.014699054,33.64768699,16.82407564,7,0,1,88.04386501,21.04456146,6.308680144,0,187.9545099,22,23,1
15,4,19.41110222,12,1.070555111,28.50892981,12.35559114,15,0,0,90.1105391,17.4139178,7.481657327,0,199.1815773,22,26,1
9,4,13.84470681,18,0.684470681,30.86768727,14.15215795,12,0,0,91.00313524,19.42235341,5.207451136,0,203.1945034,22,15,1
10,4,14.55341001,16,0.755341001,31.62363735,14.97897835,6,0,0,89.46761164,19.77670501,5.325568336,0,198.3516982,20,17,1
8,1,10.55999303,11,0.731692201,23.83475626,10.37691504,14,0,0,95.12585655,17.26768802,4.10215181,0,212.5135655,27,9,1
16,4,18.33898549,28,1.016949275,33.44066673,16.64405803,7,0,1,88.12712316,20.89829715,6.355934768,0,188.4068042,22,23,1
9,2,12.11920821,12,0.755680126,26.73729528,12.17600947,10,0,0,92.79902775,18.22720505,4.557922399,0,206.4686082,24,12,1
6,3,11.77654171,21,0.512769045,28.33177749,11.7446191,26,0,0,95.20430472,18.34038694,4.810616684,0,216.1000726,28,10,1
15,4,19.39205959,12,1.06960298,28.59652587,12.43176163,15,0,0,90.07531025,17.47580632,7.461662573,0,198.9901989,22,26,1
6,2,10.4952141,16,0.585987766,25.07354441,10.28024468,23,0,0,96.37580426,17.42515293,4.298085638,0,217.8207125,29,8,1
16,3,17.07682331,30,0.970847052,33.54235259,17.02823506,6,0,1,88.53978848,21.41694104,5.757058766,0,188.4497655,22,20,1
9,2,11.00245303,11,0.738499277,24.65841256,10.8874458,13,0,0,94.4655701,17.53997109,4.231486269,0,210.7981821,26,10,1
6,4,12.02983845,21,0.502983845,28.93182768,12.03481152,26,0,0,94.93535003,18.51491922,4.904973075,0,215.5961039,27,11,1
16,4,18.28016803,28,1.014008402,33.71122706,16.87932788,7,0,1,88.01831086,21.0894539,6.294176432,0,187.8156887,22,22,1
15,4,19.0366593,17,1.051832965,30.2313672,13.85336278,12,0,0,89.41781971,18.63085726,7.08849227,0,195.418426,22,25,1
9,1,9.664955817,11,0.736788078,21.83940392,9.226269281,18,0,0,96.88789187,16.73576157,3.80656732,0,216.1467441,29,7,1
9,4,14.22230585,17,0.722230585,31.27045958,14.59269016,9,0,0,90.18500398,19.61115293,5.270384309,0,200.6142433,21,16,1
16,4,18.60596852,24,1.030298426,32.21254482,15.57612593,9,0,1,88.62104176,20.03060232,6.636266944,0,191.0899836,22,24,1
10,1,11.3264012,16,0.789254775,24.46273874,10.97515916,15,0,0,95.0165797,17.7850955,4.24378979,0,209.938185,28,10,1
6,2,10.74178097,17,0.57189823,25.70052875,10.5620354,24,0,0,96.15037168,17.60127212,4.396712388,0,217.4896084,29,8,1
15,4,19.41281631,12,1.070640816,28.50104497,12.34873475,15,0,0,90.11371018,17.40834699,7.483457127,0,199.1988039,22,26,1
6,4,12.57191653,20,0.557191653,29.5100443,12.66723596,22,0,0,93.76084751,18.78595827,4.995319422,0,211.8919037,26,12,1
16,4,18.37977321,27,1.018988661,33.25304323,16.48090716,7,0,1,88.20258044,20.76573707,6.398761871,0,188.8167208,22,23,1
10,4,14.60121696,16,0.760121696,31.67463142,15.03475312,6,0,0,89.36402993,19.80060848,5.333536159,0,198.0250175,20,17,1
16,4,18.17351889,30,1.008675945,34.20181308,17.30592442,6,0,1,87.82100996,21.43606359,6.18219484,0,186.7438649,22,22,1
8,4,13.4659728,19,0.64659728,30.46370432,13.7103016,15,0,0,91.82372559,19.2329864,5.144328801,0,205.7825192,23,14,1
8,4,13.50454888,18,0.650454888,30.50485214,13.75530703,14,0,0,91.74014408,19.25227444,5.150758147,0,205.518916,23,15,1
10,3,13.68891866,14,0.779829518,29.65937167,13.98721384,6,0,0,90.45653676,19.19318072,5.01676084,0,200.3829615,21,16,1
15,4,19.29992786,14,1.064996393,29.02033184,12.80028855,14,0,0,89.90486654,17.77523445,7.364924255,0,198.064275,22,26,1
15,4,19.40393375,12,1.070196688,28.54190473,12.38426498,15,0,0,90.09727745,17.4372153,7.474130442,0,199.1095342,22,26,1
6,3,11.28527434,19,0.540841466,27.08255476,11.18317068,25,0,0,95.65346346,17.98948167,4.614109737,0,216.7597745,28,9,1
10,3,14.28503472,15,0.789000534,30.76906464,14.67504006,4,0,0,89.56694818,19.56002137,5.191010149,0,198.0718654,20,17,1
9,2,10.69696852,11,0.733799516,24.0897414,10.53496368,14,0,0,94.92144698,17.35198063,4.142190798,0,211.982522,26,9,1
15,4,19.24883409,14,1.062441705,29.25536316,13.00466362,14,0,0,89.81034308,17.94128919,7.311275799,0,197.5507827,22,26,1
16,4,18.18796388,30,1.009398194,34.13536615,17.24814448,6,0,1,87.84773318,21.38911739,6.197362074,0,186.889037,22,22,1
8,4,13.26515958,19,0.626515958,30.24950355,13.47601951,16,0,0,92.25882092,19.13257979,5.11085993,0,207.1547429,24,14,1
14,3,19.58666385,4,1.08562309,25.59153481,9.928115452,20,0,0,91.45159592,15.51797114,7.934665541,0,205.653511,23,28,1
11,2,14.64562279,6,0.913760793,23.09953149,9.068803964,20,0,0,94.45918613,15.73279901,5.958249117,0,212.2702095,26,17,1
8,4,13.6279339,18,0.66279339,30.63646283,13.89925622,13,0,0,91.47280987,19.31396695,5.171322317,0,204.675785,23,15,1
16,4,18.5730825,24,1.028654125,32.36382048,15.70766998,9,0,1,88.56020263,20.13748186,6.601736629,0,190.7594792,22,24,1
15,4,19.18166652,15,1.059083326,29.564334,13.27333392,13,0,0,89.68608306,18.15958381,7.240749847,0,196.8757485,22,26,1
14,3,19.64924713,4,1.0877999,25.62309855,9.9389995,20,0,0,91.41350175,15.51525012,7.95969885,0,205.5697038,23,28,1
16,4,18.07469638,31,1.003734819,34.65639666,17.70121449,5,0,1,87.6381883,21.75723677,6.078431196,0,185.7506986,22,22,1
16,4,18.35479888,27,1.017739944,33.36792516,16.58080449,7,0,1,88.15637793,20.84690364,6.372538823,0,188.5657287,22,23,1
6,2,10.73933276,17,0.572038128,25.69430329,10.55923743,24,0,0,96.15261005,17.5995234,4.395733102,0,217.492896,29,8,1
10,3,14.17410667,15,0.787293949,30.5625678,14.54704616,5,0,0,89.73248697,19.49175795,5.158585026,0,198.5019249,20,17,1
9,2,11.89458119,12,0.752224326,26.31914345,11.91682445,11,0,0,93.13424038,18.08897304,4.492262194,0,207.3394698,24,12,1
6,3,11.19497744,19,0.546001289,26.85294262,11.07997421,25,0,0,95.73602063,17.92498388,4.577990974,0,216.8810303,28,9,1
7,4,12.64746308,20,0.564746308,29.59062729,12.7553736,21,0,0,93.59716332,18.82373154,5.007910514,0,211.3756689,26,12,1
7,2,9.819883335,13,0.624578095,23.35627477,9.508438097,22,0,0,96.99324952,16.94277381,4.027953334,0,218.7275852,29,7,1
14,3,19.01850415,4,1.065861014,25.3049847,9.82930507,20,0,0,91.79743225,15.54267373,7.707401661,0,206.414351,23,26,1
8,1,8.835931188,9,0.705168172,20.62534883,8.387612909,19,0,0,97.6986873,16.20672688,3.59819527,0,219.1976206,30,5,1
15,4,19.06270926,17,1.053135463,30.11153739,13.74916295,12,0,0,89.46601214,18.54619489,7.115844726,0,195.6802281,22,25,1
6,2,10.39222293,16,0.591872976,24.81165258,10.16254049,23,0,0,96.46996761,17.3515878,4.25688917,0,217.9590149,29,8,1
15,4,19.2748598,14,1.06374299,29.13564491,12.90056079,14,0,0,89.85849064,17.85670564,7.338602793,0,197.812341,22,26,1
7,4,12.821726,20,0.5821726,29.77650773,12.95868033,20,0,0,93.21959367,18.910863,5.036954333,0,210.1848723,25,13,1
6,4,12.07244376,21,0.507244376,28.97727335,12.08451772,26,0,0,94.84303852,18.53622188,4.91207396,0,215.3049676,27,11,1
6,2,10.30705122,15,0.59673993,24.5950731,10.06520139,23,0,0,96.54783889,17.29075087,4.222820488,0,218.0733884,29,8,1
7,1,9.630347655,13,0.635408705,22.87431261,9.291825892,22,0,0,97.16653929,16.80739118,3.952139062,0,218.9821046,30,6,1
9,1,10.85535876,7,0.781925522,21.18792007,8.40962761,20,0,0,96.76630336,15.8975931,4.442143504,0,217.3458674,29,9,1
7,1,9.447912879,12,0.64583355,22.41040704,9.083329005,21,0,0,97.3333368,16.67708063,3.879165152,0,219.2270884,30,6,1
15,4,19.12205716,16,1.056102858,29.83853707,13.51177137,13,0,0,89.57580574,18.35331423,7.178160017,0,196.2766744,22,25,1
16,4,18.15691276,30,1.007845638,34.27820129,17.37234895,6,0,1,87.79028861,21.49003352,6.164758401,0,186.5769733,22,22,1
6,3,11.9112724,21,0.505070149,28.67437838,11.89859703,26,0,0,95.08112238,18.43662314,4.864508959,0,215.9191485,28,10,1
8,1,8.854840061,9,0.711205476,20.56027378,8.373515853,19,0,0,97.80033804,16.22410951,3.593378963,0,219.1740187,30,5,1
6,3,11.42593042,19,0.532803976,27.44022307,11.34392048,25,0,0,95.52486361,18.0899503,4.670372169,0,216.5708934,28,10,1
9,4,14.08792262,17,0.708792262,31.12711746,14.43590972,10,0,0,90.47616766,19.54396131,5.247987103,0,201.5325288,21,16,1
8,4,13.77314117,18,0.677314117,30.79135058,14.06866469,12,0,0,91.15819414,19.38657058,5.195523528,0,203.6835354,22,15,1
15,4,19.65341136,9,1.082670568,27.39430774,11.38635456,17,0,0,90.55881102,16.62641308,7.736081928,0,201.6167842,22,27,1
8,1,9.516840777,10,0.715643704,21.89288822,9.17327782,17,0,0,96.68256069,16.62574817,3.797230381,0,216.5577865,29,7,1
14,3,15.62269247,26,0.924927131,31.24635653,15.49757102,8,0,1,90.17759901,20.49854261,5.374392755,0,193.8836229,24,17,1
7,2,10.07770667,14,0.609845333,24.01188268,9.803093341,23,0,0,96.75752533,17.12693334,4.131082669,0,218.3813653,29,7,1
10,1,11.21133873,15,0.785621223,24.28106116,10.85404077,15,0,0,95.14617637,17.71242446,4.213510193,0,210.3681553,28,9,1
6,2,10.81069082,17,0.567960525,25.87575665,10.64078951,24,0,0,96.08736839,17.65049344,4.424276327,0,217.3970723,29,8,1
13,3,16.78076019,5,0.988026441,24.1763834,9.440132206,20,0,0,93.15953728,15.63996695,6.812304074,0,209.410982,25,22,1
6,4,12.13540416,21,0.513540416,29.0444311,12.15797152,25,0,0,94.70662432,18.56770208,4.92256736,0,214.8747383,27,11,1
7,4,12.78630925,20,0.578630925,29.73872987,12.91736079,20,0,0,93.29632996,18.89315462,5.031051542,0,210.4268868,25,13,1
9,2,12.10330134,12,0.755435405,26.70768404,12.15765539,10,0,0,92.82276569,18.21741621,4.5532727,0,206.5302779,24,12,1
10,2,12.96521142,7,0.855311702,22.25201967,8.776558508,20,0,0,95.48204522,15.80586037,5.286084567,0,214.5204995,27,14,1
16,4,18.83920012,20,1.041960006,31.13967943,14.6431995,11,0,1,89.05252023,19.27259959,6.881160131,0,193.4339613,22,24,1
10,3,13.38974857,14,0.775226901,29.10245503,13.64201758,7,0,0,90.9029906,19.00907604,4.92931112,0,201.5428209,21,15,1
15,4,19.28805464,14,1.064402732,29.07494864,12.84778143,14,0,0,89.88290109,17.81382241,7.352457375,0,197.9449492,22,26,1
7,4,12.72646167,20,0.572646167,29.67489245,12.84753861,21,0,0,93.42599972,18.86323083,5.021076945,0,210.8358453,25,12,1
6,4,12.04318047,21,0.504318047,28.94605916,12.05037721,26,0,0,94.90644232,18.52159023,4.907196744,0,215.5049335,27,11,1
10,4,14.65178208,16,0.765178208,31.72856755,15.09374576,5,0,0,89.25447216,19.82589104,5.34196368,0,197.6794891,20,18,1
16,3,17.5629749,31,0.986199207,34.30996037,17.53997358,5,0,1,87.99222827,21.72398415,5.884993395,0,186.6330938,22,21,1
10,4,14.87781359,16,0.787781359,31.96966783,15.35744919,3,0,0,88.76473722,19.9389068,5.379635599,0,196.1349404,19,18,1
6,4,12.43361825,21,0.543361825,29.36252613,12.50588796,23,0,0,94.0604938,18.71680912,4.972269708,0,212.836942,26,12,1
8,1,10.42622391,11,0.729634214,23.5857399,10.22256605,14,0,0,95.32548124,17.18536856,4.063050067,0,213.0321781,27,9,1
9,2,11.91787011,12,0.752582617,26.36249667,11.94369628,11,0,0,93.09948614,18.10330468,4.499069725,0,207.2491805,24,12,1
6,3,11.65758044,20,0.519566832,28.02927597,11.60866336,26,0,0,95.31306931,18.2554146,4.763032175,0,216.2598206,28,10,1
16,4,18.98323175,18,1.049161588,30.47713395,14.067073,12,0,1,89.31897874,18.80449681,7.032393338,0,194.8814791,22,25,1
8,4,13.42041531,19,0.642041531,30.41510967,13.6571512,15,0,0,91.92243349,19.21020766,5.136735885,0,206.0938287,23,14,1
10,4,14.48039439,17,0.748039439,31.54575402,14.89379346,7,0,0,89.62581215,19.7401972,5.313399065,0,198.8506383,20,17,1
8,4,13.69844505,18,0.669844505,30.71167472,13.98151923,13,0,0,91.32003572,19.34922253,5.183074175,0,204.1939588,22,15,1
15,4,19.20299053,15,1.060149527,29.46624356,13.18803788,14,0,0,89.72553248,18.09028077,7.263140058,0,197.0900548,22,26,1
9,2,10.99697436,11,0.73841499,24.64821381,10.88112426,13,0,0,94.47374595,17.53659961,4.229884814,0,210.8194225,26,10,1
9,4,13.90528095,18,0.690528095,30.93229968,14.22282778,11,0,0,90.87189127,19.45264048,5.217546825,0,202.7805802,22,16,1
8,1,8.794476064,9,0.704530401,20.54817852,8.339780073,19,0,0,97.76055111,16.18121604,3.586077619,0,219.358339,30,5,1
6,2,10.68885585,17,0.574922523,25.56594773,10.50154954,24,0,0,96.19876037,17.56346846,4.37554234,0,217.5606793,29,8,1
15,4,19.25171983,14,1.062585992,29.24208878,12.99312067,14,0,0,89.81568169,17.93191055,7.314305823,0,197.5797843,22,26,1
11,2,14.21393303,6,0.898745497,22.8818097,8.993727483,20,0,0,94.72195381,15.75156813,5.785573211,0,212.8482984,27,16,1
15,4,19.71297968,8,1.085648984,27.12029346,11.14808127,17,0,0,90.66901241,16.43281603,7.798628666,0,202.2154458,22,27,1
11,2,11.7424105,17,0.802391911,25.11959553,11.41306368,14,0,0,94.54802186,18.04783821,4.353265921,0,208.3836239,27,10,1
10,4,14.51119672,16,0.751119672,31.57860983,14.92972951,6,0,0,89.55907378,19.75559836,5.318532786,0,198.6401558,20,17,1
6,3,11.75300938,21,0.514113749,28.27193815,11.71772501,26,0,0,95.22581999,18.32357813,4.801203754,0,216.1316731,28,10,1
42,1,43.86,8,0.055,49.02697253,54.40520916,14,1,1,108.9223253,72.89304374,41.20884795,1,101.26,0,41,2
79,1,55.73859186,18,0.036323058,52.40905531,44.3618673,13,1,1,40.56249021,55.86361501,24.45328255,0,145.1221684,54,37,2
72,1,35.07927821,8,0.045497054,51.27430533,50.38108735,13,1,1,73.4160274,57.86750477,33.68375286,1,150.3205408,42,46,2
77,1,67.50422789,23,0.034642253,53.23601145,42.10454599,13,1,1,43.15093013,57.21834395,23.57254066,0,129.7730559,48,31,2
50,1,43.86,8,0.055,51.60211093,52.77909805,13,1,1,132.3705144,68.03552242,45.05768089,1,101.26,0,41,2
48,1,43.86,8,0.055,50.91160716,53.21512738,13,1,1,126.0830609,69.33802981,44.02564561,1,101.26,0,41,2
56,1,81.99140715,27,0.038019502,51.5551584,43.00414864,13,1,1,51.96805634,68.33794149,24.76481473,0,91.8324273,21,23,2
47,1,43.86,8,0.055,50.70910822,53.34299847,13,1,1,124.2391859,69.72000652,43.72298826,1,101.26,0,41,2
54,1,43.29485654,8,0.054388373,52.36497374,52.12971333,13,1,1,135.7145326,65.90229296,45.49735143,1,104.417627,2,41,2
76,1,71.36250602,24,0.034091071,53.50719328,41.36430777,13,1,1,43.99975133,57.66259712,23.28372098,0,124.7396564,46,29,2
80,1,52.57049467,17,0.036775644,52.18638334,44.96968938,13,1,1,39.86550883,55.49883124,24.69043726,0,149.2551775,55,38,2
53,1,43.63009269,8,0.054751183,52.40947839,52.2010659,13,1,1,138.2566192,66.23015198,45.97940457,1,102.5445615,1,41,2
68,1,36.76239021,8,0.047318604,51.49774877,50.73932548,13,1,1,86.17901957,59.51357859,36.10398535,1,140.9164864,34,45,2
61,1,87.28452718,29,0.035662394,52.72051222,40.90726604,13,1,1,51.47777803,66.16940283,23.69940226,0,90.52376136,24,20,2
45,1,38.94209488,8,0.049677592,45.79991444,54.98397228,14,1,1,48.19055948,72.93906687,30.28974711,1,128.7378191,23,44,2
81,1,42.20565003,12,0.038256336,51.45788283,46.95825886,13,1,1,37.58524301,54.30539342,25.46631991,0,162.7768577,60,43,2
18,1,43.86,8,0.055,46.02809779,56.29889515,15,1,1,55.5,78.54986511,21123.17636,1,101.26,0,41,2
64,1,38.4998481,8,0.04919897,51.72840696,51.10913073,13,1,1,99.3541151,61.21280238,38.60236455,1,131.2087852,25,44,2
28,1,42.98307764,8,0.05405095,43.63072888,57.5525912,15,1,1,54.19663777,81.99483345,32.05658373,1,106.1596297,4,41,2
6,1,43.86,8,0.055,51.16380564,53.05587273,13,1,1,55.5,68.86230413,58888.925,1,101.26,0,41,2
79,1,53.87464457,17,0.036589336,52.27804645,44.71947891,13,1,1,40.15242181,55.64899479,24.59281232,0,147.5538208,55,38,2
9,1,43.86,8,0.055,52.44,52.25,13,1,1,65.08851254,66.455,60531.52051,1,101.26,0,41,2
50,1,43.86,8,0.055,51.74115678,52.6912954,13,1,1,133.6366107,67.77323821,45.26550049,1,101.26,0,41,2
32,1,42.15992344,8,0.05316009,44.07259521,57.0293597,15,1,1,52.97319068,80.15016032,31.69667648,1,110.7588405,8,42,2
37,1,58.34084298,15,0.048551459,46.34815852,52.3733782,15,1,1,54.15870354,78.02734256,29.52525961,0,97.67977021,8,34,2
36,1,43.86,8,0.055,52.44,52.25,13,1,1,111.2686519,66.455,23244.64309,1,101.26,0,41,2
47,1,43.86,8,0.055,50.74382202,53.32107791,13,1,1,124.5552759,69.65452539,43.77487192,1,101.26,0,41,2
45,1,68.83102644,20,0.04388002,48.65771797,48.21766605,14,1,1,53.18704422,73.72961867,27.41376917,0,95.08618727,14,29,2
38,1,43.86,8,0.055,47.52484263,55.35375239,14,1,1,95.24452613,75.72653337,38.96374648,1,101.26,0,41,2
74,1,83.07033964,29,0.032418523,54.33008673,39.11807627,13,1,1,46.57547472,59.01067054,22.407306,0,109.4659512,40,23,2
29,1,49.08678938,10,0.052672431,44.31075021,56.03939444,15,1,1,55.01586561,81.81863634,31.38793872,0,99.96773358,2,38,2
29,1,49.63030735,10,0.052430394,44.43041323,55.82407846,15,1,1,54.96552194,81.59596243,31.27853806,0,99.83335472,3,38,2
73,1,93.029264,33,0.030995819,55.03005684,37.20738549,13,1,1,48.76643808,60.15736954,21.66180938,0,96.47382302,35,18,2
42,1,64.45768419,18,0.045827536,47.69486599,49.95017641,14,1,1,53.59212758,75.52133352,28.29404647,0,96.16744823,11,31,2
43,1,43.86,8,0.055,49.29380354,54.23671458,14,1,1,111.3519827,72.38971649,41.6076568,1,101.26,0,41,2
79,1,54.44467022,17,0.036507904,52.31811111,44.61011541,13,1,1,40.27782745,55.71462917,24.55014183,0,146.8101816,54,37,2
59,1,84.61515181,28,0.036851108,52.13281219,41.9647457,13,1,1,51.72503047,67.26301939,24.23670083,0,91.18373518,23,22,2
27,1,43.86,8,0.055,44.11481679,57.50706612,15,1,1,64.19418303,82.1589151,33.86708069,1,101.26,0,41,2
22,1,43.86,8,0.055,44.20783798,57.44832645,15,1,1,55.5,81.98344786,7737.782097,1,101.26,0,41,2
81,1,45.40871179,14,0.037798755,51.68301231,46.34372858,13,1,1,38.28991659,54.6742031,25.22654786,0,158.5982348,59,42,2
55,1,79.90365662,25,0.038949209,51.09551115,43.83121619,14,1,1,52.16143544,69.19327214,25.1850424,0,92.34860075,20,24,2
5,1,43.86,8,0.055,51.65918112,52.74306019,13,1,1,55.5,67.92787009,62531.6996,1,101.26,0,41,2
29,1,43.86,8,0.055,44.65991447,57.16285574,15,1,1,69.15762634,81.13068936,34.68179026,1,101.26,0,41,2
67,1,94.30483214,33,0.032536145,54.26612977,38.12615485,13,1,1,50.82751822,63.29325366,22.28633767,0,88.78806786,28,17,2
41,1,43.86,8,0.055,48.78766167,54.55632571,14,1,1,106.7432555,73.34445931,40.85117106,1,101.26,0,41,2
83,1,30.64379361,8,0.039908029,50.64524949,49.1764836,13,1,1,35.04163459,52.97412824,26.33180745,0,177.8601252,66,49,2
6,1,43.86,8,0.055,51.49834408,52.84462324,13,1,1,55.5,68.23125936,61348.97435,1,101.26,0,41,2
79,1,53.55487616,17,0.036635018,52.2555713,44.78082876,13,1,1,40.08207276,55.61217574,24.61674927,0,147.9709816,55,38,2
52,1,43.86,8,0.055,52.3930285,52.27966088,13,1,1,139.5722962,66.54360303,46.23979583,1,101.26,0,41,2
57,1,41.63120041,8,0.052587879,52.14411319,51.77561625,13,1,1,123.0990738,64.27524686,43.10509554,1,113.7129755,10,42,2
46,1,69.19408506,20,0.043718345,48.73765036,48.07383948,14,1,1,53.1534157,73.58087716,27.34069182,0,94.996425,14,29,2
37,1,43.86,8,0.055,52.44,52.25,13,1,1,113.9651442,66.455,21067.43489,1,101.26,0,41,2
79,1,54.36271183,17,0.036519613,52.3123506,44.62583972,13,1,1,40.2597966,55.70519225,24.556277,0,146.9171022,54,37,2
8,1,43.86,8,0.055,50.35878081,53.56421815,13,1,1,55.5,70.38083426,52969.1246,1,101.26,0,41,2
75,1,33.98919599,8,0.044317312,51.12959023,50.1490713,13,1,1,65.14996384,56.80141065,32.11626812,1,156.4111589,47,47,2
74,1,83.39256388,29,0.032372491,54.35273449,39.05625525,13,1,1,46.64636405,59.04777235,22.38318522,0,109.0455867,40,23,2
10,1,43.86,8,0.055,49.4202908,54.15684223,13,1,1,55.5,72.15112172,46067.87967,1,101.26,0,41,2
39,1,40.34637087,8,0.051197371,45.04610395,55.87658928,15,1,1,50.27772295,76.08602304,30.90373792,1,120.8917056,16,43,2
45,1,39.00391198,8,0.049744493,45.76673123,55.02326584,14,1,1,48.28243772,73.07759784,30.31677537,1,128.3924283,23,44,2
48,1,43.86,8,0.055,51.04079325,53.13355081,13,1,1,127.2593782,69.0943442,44.2187287,1,101.26,0,41,2
79,1,53.96709754,17,0.036576129,52.28454457,44.70174114,13,1,1,40.17276146,55.65964009,24.58589156,0,147.4332093,55,38,2
50,1,37.87675724,8,0.048524629,46.37178399,54.3067988,14,1,1,46.60715723,70.55166522,29.82395014,1,134.6901818,28,44,2
5,1,43.86,8,0.055,51.57069815,52.79893414,13,1,1,55.5,68.09477681,61881.03455,1,101.26,0,41,2
35,1,43.86,8,0.055,46.57240265,55.95518539,14,1,1,86.57198536,77.52313487,37.54021819,1,101.26,0,41,2
9,1,43.86,8,0.055,49.97892203,53.80408587,13,1,1,55.5,71.09736745,50175.80931,1,101.26,0,41,2
31,1,43.86,8,0.055,45.42422389,56.68022069,15,1,1,76.11712487,79.68896129,35.82413635,1,101.26,0,41,2
83,1,31.88926117,8,0.039730106,50.73278807,48.93753175,13,1,1,35.31563746,53.11753493,26.23857531,0,176.2353239,66,49,2
